Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",65.687500,-63.100000,180.000000,top
"C2","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",52.987500,-63.100000,180.000000,top
"C3","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",234.612500,-63.300000,180.000000,top
"C4","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",219.587500,-63.300000,180.000000,top
"C5","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",124.487500,-63.400000,180.000000,top
"C6","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.200000,-84.312500,270.000000,top
"C7","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.587500,-111.500000,0.000000,top
"C8","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.412500,-98.200000,0.000000,top
"C9","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",68.112500,-104.900000,0.000000,top
"C10","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",87.612500,-104.000000,0.000000,top
"C11","100N","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",68.300000,-93.087500,90.000000,top
"D1","LED_WWCW","LED_0201_0603Metric",112.880000,-48.800000,0.000000,top
"D2","LED_JX1","LED_0201_0603Metric",169.900000,-102.000000,90.000000,top
"D3","LED_JY1","LED_0201_0603Metric",165.900000,-138.000000,180.000000,top
"D4","LED_JX2","LED_0201_0603Metric",173.900000,-102.000000,90.000000,top
"D5","LED_JY2","LED_0201_0603Metric",165.900000,-134.000000,180.000000,top
"D6","LED_JX3","LED_0201_0603Metric",177.900000,-102.000000,90.000000,top
"D7","LED_JY3","LED_0201_0603Metric",165.900000,-130.000000,180.000000,top
"D8","LED_JX4","LED_0201_0603Metric",181.900000,-102.000000,90.000000,top
"D9","LED_JY4","LED_0201_0603Metric",165.900000,-126.000000,180.000000,top
"D10","LED_JX5","LED_0201_0603Metric",185.900000,-102.000000,90.000000,top
"D11","LED_JY5","LED_0201_0603Metric",165.900000,-122.000000,180.000000,top
"D12","LED_JX6","LED_0201_0603Metric",189.900000,-102.000000,90.000000,top
"D13","LED_JY6","LED_0201_0603Metric",165.900000,-118.000000,180.000000,top
"D14","LED_JX7","LED_0201_0603Metric",193.900000,-102.000000,90.000000,top
"D15","LED_JY7","LED_0201_0603Metric",165.900000,-114.000000,180.000000,top
"D16","LED_JX8","LED_0201_0603Metric",197.900000,-102.000000,90.000000,top
"D17","LED_JY8","LED_0201_0603Metric",165.900000,-110.000000,180.000000,top
"D18","LED_JX9","LED_0201_0603Metric",201.900000,-102.000000,90.000000,top
"D19","LED_JY9","LED_0201_0603Metric",165.900000,-106.000000,180.000000,top
"D20","LED_GINDEX","L_0201_0603Metric",120.800000,-103.000000,90.000000,top
"D21","LED_GROT","L_0201_0603Metric",135.300000,-102.300000,90.000000,top
"D22","LED_JFNE","L_0201_0603Metric",206.480000,-120.800000,0.000000,top
"D23","LED_JRGH","L_0201_0603Metric",206.500000,-124.200000,0.000000,top
"D24","LED_PRISM","LED_0201_0603Metric",140.920000,-48.500000,0.000000,top
"R2","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",78.887500,-85.400000,180.000000,top
"R3","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",75.587500,-113.900000,0.000000,top
"R4","16","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",117.312500,-48.700000,0.000000,top
"R9","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.712500,-63.100000,0.000000,top
"R10","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",70.512500,-65.400000,180.000000,top
"R11","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",58.012500,-63.100000,0.000000,top
"R12","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",58.012500,-65.400000,180.000000,top
"R15","2k","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",239.587500,-63.300000,0.000000,top
