"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"WWCW_POT";;;
2;"SW11";"LED_switch_circ";1;"SW_COL6";;;
3;"SW10";"LED_switch_circ";1;"SW_COL3";;;
4;"SW9";"LED_switch_circ";1;"SW_COL5";;;
5;"SW8";"LED_switch_circ";1;"SW_COL2";;;
6;"SW7";"LED_switch_circ";1;"SW_COL4";;;
7;"SW6";"LED_switch_circ";1;"SW_COL1";;;
8;"R56,R55,R54,R52,R51,R50,R48,R47,R3,R2,R53,R49,R45,R44,R17,R11,R18,R12,R15,R9,R16,R10";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";22;"2k";;;
9;"R4,R46,R22,R21";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"16";;;
10;"D1";"LED_0201_0603Metric";1;"LED_WWCW";;;
11;"C11,C9,C8,C7,C6,C10,C5,C4,C3,C2,C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";11;"100N";;;
12;"R58";"ALPS_RS45111A6A08";1;"SAT_POT";;;
13;"R57";"ALPHA_RV112FF-40B1";1;"HUE_POT";;;
14;"SW5";"LED_switch_10x8";1;"SW_PRISM";;;
15;"SW4";"LED_switch_10x8";1;"SW_NOX";;;
16;"SW3";"LED_switch_10x8";1;"SW_LUM";;;
17;"SW2";"LED_switch_10x8";1;"SW_CLUNDO";;;
18;"SW1";"LED_switch_10x8";1;"SW_CLEAR";;;
19;"U6,U5";"SOIC-24W_7.5x15.4mm_P1.27mm";2;"CD74HC4067M";;;
20;"R43";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"PRISM_POT";;;
21;"D24";"LED_0201_0603Metric";1;"LED_PRISM";;;
22;"U4,U3,U2";"SOP-16_4.4x10.4mm_P1.27mm";3;"74HC595";;;
23;"R20";"ALPS_RS6011YA6009";1;"GROT_POT";;;
24;"R19";"ALPS_RS6011YA6009";1;"GINDEX_POT";;;
25;"R14";"ALPS_RS6011YA6009";1;"STRB_POT";;;
26;"R13";"ALPS_RS6011YA6009";1;"DIM_POT";;;
27;"U1";"Joystick_XY_mountingholes";1;"Joystick_XY";;;
28;"R42,R41,R40,R31,R39,R30,R38,R29,R37,R28,R36,R27,R35,R26,R34,R25,R33,R24,R32,R23";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";20;"82";;;
29;"R8";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"FROST_POT";;;
30;"R7";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"ZOOM_POT";;;
31;"R6";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles";1;"IRIS_POT";;;
32;"R5";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"FOCUS_POT";;;
33;"D23";"L_0201_0603Metric";1;"LED_JRGH";;;
34;"D21";"L_0201_0603Metric";1;"LED_GROT";;;
35;"D22";"L_0201_0603Metric";1;"LED_JFNE";;;
36;"D20";"L_0201_0603Metric";1;"LED_GINDEX";;;
37;"D19";"LED_0201_0603Metric";1;"LED_JY9";;;
38;"D18";"LED_0201_0603Metric";1;"LED_JX9";;;
39;"D17";"LED_0201_0603Metric";1;"LED_JY8";;;
40;"D16";"LED_0201_0603Metric";1;"LED_JX8";;;
41;"D15";"LED_0201_0603Metric";1;"LED_JY7";;;
42;"D14";"LED_0201_0603Metric";1;"LED_JX7";;;
43;"D13";"LED_0201_0603Metric";1;"LED_JY6";;;
44;"D12";"LED_0201_0603Metric";1;"LED_JX6";;;
45;"D11";"LED_0201_0603Metric";1;"LED_JY5";;;
46;"D10";"LED_0201_0603Metric";1;"LED_JX5";;;
47;"D9";"LED_0201_0603Metric";1;"LED_JY4";;;
48;"D8";"LED_0201_0603Metric";1;"LED_JX4";;;
49;"D7";"LED_0201_0603Metric";1;"LED_JY3";;;
50;"D6";"LED_0201_0603Metric";1;"LED_JX3";;;
51;"D5";"LED_0201_0603Metric";1;"LED_JY2";;;
52;"D4";"LED_0201_0603Metric";1;"LED_JX2";;;
53;"D3";"LED_0201_0603Metric";1;"LED_JY1";;;
54;"D2";"LED_0201_0603Metric";1;"LED_JX1";;;
