Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
D1,0603,1,LED,
J1,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,BAT,
J2,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,PWR,
J3,Solderpad_2.2x3.7_THT,1,BAT+,
J4,Solderpad_2.2x3.7_THT,1,BAT-,
J5,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,PORT,
"R1, R2, R3, R4",0603,4,10kΩ,
R10,0603,1,220kΩ,
"R11, R6, R9",0603,3,80.6kΩ,
"R12, R7",0603,2,100kΩ,
R13,0603,1,20kΩ,
R5,0603,1,2kΩ,
R8,0603,1,150kΩ,
U1,TSSOP-16_4.4x5mm_P0.65mm,1,ADS7830,
U2,TO-92_Inline,1,DS18B20,
