Designator,Mid X,Mid Y,Rotation,Layer
C1,98.6375,-96.4,0.0,top
D1,94.0,-84.75,270.0,top
J1,104.36,-104.36,0.0,top
J2,121.885,-91.825,0.0,top
J3,114.7,-95.57,0.0,top
J4,121.9,-95.67,0.0,top
J5,105.8,-84.65,180.0,top
R1,102.7125,-94.625,0.0,top
R10,92.4,-102.45,270.0,top
R11,92.4,-99.1375,270.0,top
R12,89.6,-102.5125,270.0,top
R13,89.6,-99.1375,270.0,top
R2,106.025,-94.625,0.0,top
R3,102.725,-93.125,0.0,top
R4,106.025,-93.125,0.0,top
R5,95.3375,-87.55,0.0,top
R6,98.3,-102.5125,270.0,top
R7,98.3,-99.1375,270.0,top
R8,95.3,-102.45,270.0,top
R9,95.3,-99.1375,270.0,top
U1,96.4375,-92.625,0.0,top
U2,118.78,-104.61,0.0,top
